Bank_Balance,Investment_Amount,Expenses,Transactions,Company_Name,Successful_Investment,Failed_Investment
916025,472133,195667,71,Wipro,1,0
431393,308068,389936,27,HUL,1,0
1231915,164916,13646,94,ICICI,1,0
1075556,406793,199594,80,SBI,1,0
1107469,89031,397689,54,Bajaj,1,0
152049,319718,174431,81,ICICI,0,1
366163,223760,445669,87,HDFC,0,1
490227,190840,273266,44,SBI,1,0
1479810,485469,202173,70,SBI,1,0
1675690,169299,406822,53,Wipro,1,0
366090,448244,321113,78,HDFC,0,1
1674281,261319,145308,31,Maruti,1,0
1829878,75355,361243,41,HUL,1,0
1974453,262789,144768,90,Bajaj,1,0
1245183,76776,268756,81,HDFC,1,0
694824,443241,180759,34,Maruti,1,0
616643,280921,233512,17,SBI,1,0
1681916,199293,154765,21,TCS,1,0
1736253,29841,374806,21,Reliance,1,0
528101,152795,260315,34,Reliance,1,0
716901,110783,193439,77,ICICI,1,0
1500598,347624,248601,13,Maruti,1,0
598994,228350,233159,7,TCS,1,0
1010119,62021,421372,88,Reliance,1,0
1070899,3199,331783,9,Infosys,1,0
955234,265030,81205,17,Maruti,1,0
1955812,63813,224730,29,Infosys,1,0
158680,449600,370122,4,SBI,0,1
103850,277985,253562,37,ICICI,0,1
1641594,8588,121412,62,Infosys,1,0
365894,320717,468381,56,HUL,0,1
1193205,116052,100853,38,HDFC,1,0
1953771,117214,431938,48,SBI,1,0
309315,416293,290485,65,ICICI,0,1
110025,98760,223560,69,Bajaj,0,1
202538,112766,106345,31,Reliance,1,0
1704150,186334,442131,56,TCS,1,0
1752754,167522,27420,75,HUL,1,0
1094293,417451,464574,96,SBI,1,0
1048584,80958,419933,57,Bajaj,1,0
1248589,67230,228294,71,Infosys,1,0
525548,16987,115868,53,Maruti,1,0
1809747,146489,67961,28,Infosys,1,0
233432,322526,129246,73,ICICI,0,1
1935262,28148,233518,85,HDFC,1,0
1699399,371828,95814,36,ICICI,1,0
1684335,172280,331681,53,HUL,1,0
209467,460783,104391,48,SBI,0,1
702558,153623,385555,60,HDFC,1,0
1468609,127853,483702,45,HUL,1,0
549846,44647,373765,19,TCS,1,0
341053,212957,261049,9,Reliance,1,0
1154472,5167,489431,48,ICICI,1,0
1519785,100273,164574,73,TCS,1,0
1522510,252321,285746,73,HDFC,1,0
538499,18245,338463,12,Reliance,1,0
170195,144670,201405,68,Infosys,0,1
1441318,234696,284209,19,Maruti,1,0
45314,19120,115603,91,Infosys,0,1
338741,354409,278596,68,HUL,0,1
1074753,423221,69583,68,Maruti,1,0
577432,347926,103052,63,TCS,1,0
1456766,222478,24229,5,SBI,1,0
128241,367810,358263,61,TCS,0,1
1268297,193156,260284,34,Reliance,1,0
1652412,431709,344474,97,HUL,1,0
1031881,163378,320130,14,Bajaj,1,0
1198528,460485,427486,99,ICICI,1,0
1798941,108498,206205,63,Bajaj,1,0
688127,289368,203658,26,Wipro,1,0
1899637,464468,45639,97,HUL,1,0
1527915,206548,482299,28,Wipro,1,0
820657,455542,74949,51,Infosys,1,0
1636629,189002,36036,63,Bajaj,1,0
1623934,94795,84258,2,Bajaj,1,0
1191409,176810,397466,80,ICICI,1,0
1950328,321354,33184,49,Infosys,1,0
133520,264291,472391,57,Bajaj,0,1
367097,218917,391135,28,Infosys,0,1
1789787,107281,70086,13,TCS,1,0
1229514,412404,172872,4,Infosys,1,0
77556,411786,348727,84,HDFC,0,1
705654,175817,323049,79,Maruti,1,0
160451,470112,102400,18,SBI,0,1
952489,317766,121192,93,Reliance,1,0
1767403,248966,306460,34,TCS,1,0
607219,76467,320374,3,Bajaj,1,0
1041054,84776,475148,31,Maruti,1,0
637490,299045,102897,31,Reliance,1,0
1173957,321404,97723,29,SBI,1,0
272319,485292,312928,40,Reliance,0,1
1529619,454173,248963,75,Reliance,1,0
592266,475549,282209,45,TCS,1,0
321569,472365,440753,65,SBI,0,1
1298930,168370,373815,23,Infosys,1,0
282725,397289,498639,33,Wipro,0,1
611921,149682,379525,56,Wipro,1,0
1483397,310492,390549,74,Wipro,1,0
1624602,242156,126610,45,HUL,1,0
1157249,170299,310902,63,TCS,1,0
1685701,135375,159156,98,Reliance,1,0
989563,274204,427234,12,ICICI,1,0
